Reference Aircraft Type [String],Remarks [String],Wingspan Code [Integer],Type Description [String],Manufacturer [String],ICAO Type Code [String],IATA Type Code [String],Wake Turbulence Category [Enumeration:TAircraftWTC],Wake Turbulence Category (RECAT) [Enumeration:TAircraftWTCRecat],ICAO Code Letter [Enumeration:TAircraftICAOCodeLetter],Engine Type [Enumeration:TAircraftEngineType],Engine Count [Integer],Body Type [Enumeration:TAircraftBodyType],Aisle Type [Enumeration:TAircraftAisleType],Wingspan [Float],Length [Float],Height [Float],Nose Gear Position [Float],Wheelbase [Float],Geometry Name [String],Fuelburn Category [String]
B787,,10,B787-9,Boeing,B789,789,Heavy,D - Upper Medium,E,Jet,2,Wide-Body,Twin-Aisle,60.1 m,62.82 m,17.07 m,6.98 m,25.82 m,Boeing B787-8,4 - Medium Jet (2 Engines)
CS-100/300,,35,A221,BOMBARDIER,BCS1,CS1,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.1 m,35 m,11.5 m,0.1 m,11.6 m,Airbus A320-200,4 - Medium Jet (2 Engines)
CS-100/300,,35,A223,BOMBARDIER,BCS3,CS3,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,38.7 m,35 m,11.5 m,0.1 m,11.6 m,Airbus A320-200,4 - Medium Jet (2 Engines)
ERJ 170,,50,Cessna 206,Cessna,C206,CNC,Light,F - Light,A,Prop,1,Narrow-Body,Single-Aisle,11 m,8.6 m,2.8 m,1.05 m,1.65 m,Cessna 172,1 - Business Jet
AT72,,80,Cessna 208B Freighter,Cessna,C208,CNF,Light,F - Light,A,Prop,1,Narrow-Body,Single-Aisle,15.9 m,11.5 m,4.3 m,3.29 m,8.78 m,Cessna 172,1 - Business Jet
ERJ 170,,50,Cessna 750 Citation X,Cessna,C750,CN7,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,19.5 m,22 m,5.1 m,3.29 m,8.78 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 100,CANADAIR,CRJ1,CR1,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,21.2 m,26.8 m,6.3 m,2.03 m,10.84 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 200,CANADAIR,CRJ2,CR2,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,21.2 m,26.8 m,6.3 m,2.03 m,10.84 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 200,CANADAIR,CRJ2,CRJ,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,21.2 m,26.8 m,6.3 m,2.03 m,10.84 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 700,CANADAIR,CRJ7,CR7,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,23.2 m,32.5 m,7.6 m,2.03 m,10.84 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 705,CANADAIR,CRJ9,CRA,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,23.3 m,36.2 m,7.5 m,4.53 m,12.07 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 900,CANADAIR,CRJ9,CR9,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,23.3 m,36.2 m,7.5 m,2.27 m,12.12 m,Bombardier CRJ-200,3 - Regional Jet
CRJ,,45,Regional Jet 1000,BOMBARDIER,CRJX,CRK,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,26.2 m,39.1 m,7.5 m,4.89 m,13.03 m,Bombardier CRJ-200,3 - Regional Jet
ERJ 170,,50,Dornier 328,Dornier,D328,D38,Medium,D - Upper Medium,B,Turboprop,2,Narrow-Body,Single-Aisle,21 m,21.2 m,7.1 m,2.03 m,10.84 m,ATR 72,2 - Turboprop
A320,,35,Default Aircraft,,Default,Default,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,35.2 m,37.5 m,11.76 m,4.94 m,12.3 m,Airbus A320-200,4 - Medium Jet (2 Engines)
DHC-8,,55,DHC-8-300 Dash 8 / 8Q,BOMBARDIER,DH8C,DH3,Medium,D - Upper Medium,C,Turboprop,2,Narrow-Body,Single-Aisle,27.43 m,25.68 m,7.49 m,3.21 m,10.01 m,ATR 72,2 - Turboprop
DHC-8,,45,DHC-8-400 Dash 8Q,BOMBARDIER,DH8D,DH4,Medium,D - Upper Medium,C,Turboprop,2,Narrow-Body,Single-Aisle,28.4 m,32.81 m,8.3 m,4.11 m,13.94 m,ATR 72,2 - Turboprop
DHC-8,,45,DHC-8-400 Dash 8Q Freighter,BOMBARDIER,DH8D,D4X,Medium,D - Upper Medium,C,Turboprop,2,Narrow-Body,Single-Aisle,28.4 m,32.81 m,8.3 m,4.1 m,10.94 m,ATR 72,2 - Turboprop
ERJ 170,,50,RJ135,Embraer,E135,ER3,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,20.2 m,26.3 m,6.7 m,3.29 m,8.78 m,Bombardier CRJ-200,3 - Regional Jet
ERJ 170,,50,RJ140,Embraer,E135,ERD,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,20.2 m,26.3 m,6.7 m,3.29 m,8.77 m,Bombardier CRJ-200,3 - Regional Jet
ERJ 170,,50,RJ145,Embraer,E145,ER4,Medium,D - Upper Medium,B,Jet,2,Narrow-Body,Single-Aisle,20.2 m,29.8 m,6.7 m,3.72 m,9.93 m,Bombardier CRJ-200,3 - Regional Jet
ERJ 170,,49,170,Embraer,E170,E70,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,26 m,29.9 m,9.85 m,3.74 m,9.97 m,Airbus A320-200,3 - Regional Jet
ERJ 170,,49,170,Embraer,E170,E7W,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,26 m,29.9 m,9.85 m,3.74 m,9.97 m,Airbus A320-200,3 - Regional Jet
ERJ 170,,45,175,Embraer,E175,E75,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,26 m,29.9 m,9.85 m,3.74 m,9.97 m,Airbus A320-200,3 - Regional Jet
ERJ 190,,45,190,Embraer,E190,295,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,28.72 m,36.24 m,10.57 m,4.53 m,12.08 m,Airbus A320-200,3 - Regional Jet
ERJ 190,,45,190,Embraer,E190,E90,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,28.72 m,36.24 m,10.57 m,4.53 m,12.08 m,Airbus A320-200,3 - Regional Jet
ERJ 190,,45,195,Embraer,E195,E95,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,28.72 m,36.24 m,10.57 m,4.53 m,12.08 m,Airbus A320-200,3 - Regional Jet
ERJ 190-E2,,35,290,Embraer,E290,290,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,33.72 m,36.24 m,10.95 m,4.76 m,12.8 m,Airbus A320-200,4 - Medium Jet (2 Engines)
F70/F100,,45,100,FOKKER,F100,100,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,28.1 m,35.5 m,8.5 m,4.44 m,14.01 m,Bombardier CRJ-200,4 - Medium Jet (2 Engines)
F70/F100,,55,FOKKER 50,FOKKER,F50,F50,Medium,A - Super Heavy,C,Turboprop,0,Narrow-Body,Single-Aisle,35.2 m,37.5 m,8.32 m,0.1 m,0.1 m,Bombardier CRJ-200,3 - Regional Jet
F70/F100,,45,70,FOKKER,F70,F70,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,28.1 m,30.9 m,8.5 m,3.86 m,11.54 m,Bombardier CRJ-200,3 - Regional Jet
B767,,15,Iljuschin Il-76,Iljuschin,IL76,IL7,Heavy,D - Upper Medium,D,Jet,4,Wide-Body,Twin-Aisle,50.5 m,46.6 m,14.8 m,4.6 m,26.2 m,Boeing B747-400,6 - Small Heavy Jet (2-3 Engines)
B767,,15,MD-11,McDonnell Douglas,MD11,M11,Heavy,D - Upper Medium,D,Jet,3,Wide-Body,Twin-Aisle,51.7 m,61.2 m,18 m,4.6 m,26.2 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
B767,,15,MD-11 Freighter,McDonnell Douglas,MD11,M1F,Heavy,D - Upper Medium,D,Jet,3,Wide-Body,Twin-Aisle,51.7 m,61.2 m,18 m,4.6 m,26.2 m,Airbus A320-200,6 - Small Heavy Jet (2-3 Engines)
MD82,,40,MD-82,McDonnell Douglas,MD82,M82,Medium,D - Upper Medium,C,Jet,2,Narrow-Body,Single-Aisle,32.82 m,45.06 m,9.02 m,4.76 m,12.3 m,Airbus A320-200,4 - Medium Jet (2 Engines)
AT72,,80,,Pilatus,PC12,PL2,Light,F - Light,A,Turboprop,1,Narrow-Body,Single-Aisle,16.3 m,14.4 m,4.3 m,1.05 m,1.65 m,Cessna 172,1 - Business Jet
RJ 70-100,,50,RJ100,BAE SYSTEMS,RJ1H,AR1,Medium,D - Upper Medium,C,Jet,4,Narrow-Body,Single-Aisle,26.34 m,31 m,8.61 m,3.88 m,10.33 m,Airbus A320-200,3 - Regional Jet
RJ 70-100,,50,RJ85,BAE SYSTEMS,RJ85,AR8,Medium,D - Upper Medium,C,Jet,4,Narrow-Body,Single-Aisle,26.34 m,28.55 m,8.61 m,3.57 m,9.52 m,Airbus A320-200,3 - Regional Jet
BAe-146,,50,Saab 2000,Saab,SB20,GAA,Medium,D - Upper Medium,C,Turboprop,2,Narrow-Body,Single-Aisle,24.8 m,27.3 m,7.7 m,3 m,8 m,ATR 72,4 - Medium Jet (2 Engines)
BAe-146,,50,Saab 340,Saab,SF34,SF3,Medium,D - Upper Medium,C,Turboprop,2,Narrow-Body,Single-Aisle,21.4 m,19.7 m,7 m,3 m,8 m,ATR 72,4 - Medium Jet (2 Engines)
BAe-146,,50,Fairchild SA26,Fairchild,SWM,SW3,Light,F - Light,A,Turboprop,2,Narrow-Body,Single-Aisle,14.1 m,18.1 m,5.1 m,1.05 m,1.65 m,Cessna 172,1 - Business Jet
